user_id,timestamp,is_anomaly,entity_text,entity_label
user_4,2026-07-30 11:17:02.893791,1,192.168.1.4,CARDINAL
user_3,2026-07-30 11:12:02.893805,1,8080,CARDINAL
user_4,2026-07-30 12:15:02.893806,1,IP 192.168.1.191,ORG
user_4,2026-07-30 11:55:02.893808,1,8080,CARDINAL
user_6,2026-07-30 12:21:02.893811,1,8080,CARDINAL
user_9,2026-07-30 12:25:02.893812,1,IP,ORG
user_1,2026-07-30 12:26:02.893814,1,IP 192.168.1.94,ORG
user_7,2026-07-30 10:57:02.893815,-1,IP 192.168.1.165,ORG
user_8,2026-07-30 10:53:02.893816,-1,IP,ORG
UNKNOWN,2026-07-30 11:07:02.893817,1,Email,PERSON
UNKNOWN,2026-07-30 11:07:02.893817,1,Jane Doe,PERSON
UNKNOWN,2026-07-30 11:07:02.893817,1,John Doe,PERSON
UNKNOWN,2026-07-30 11:07:02.893817,1,Project X,ORG
UNKNOWN,2026-07-30 11:07:02.893817,1,London,GPE
UNKNOWN,2026-07-30 10:56:02.893818,-1,Email,PERSON
UNKNOWN,2026-07-30 10:56:02.893818,-1,Jane Doe,PERSON
UNKNOWN,2026-07-30 10:56:02.893818,-1,John Doe,PERSON
UNKNOWN,2026-07-30 10:56:02.893818,-1,Project X,ORG
UNKNOWN,2026-07-30 10:56:02.893818,-1,London,GPE
user_5,2026-07-30 11:13:02.893818,1,IP,ORG
user_5,2026-07-30 11:13:02.893818,1,192.168.1.194,CARDINAL
user_1,2026-07-30 12:24:02.893819,1,IP 192.168.1.157,ORG
user_3,2026-07-30 11:31:02.893820,1,8080,CARDINAL
user_5,2026-07-30 10:58:02.893822,-1,8080,CARDINAL
user_4,2026-07-30 11:15:02.893823,1,IP,ORG
user_4,2026-07-30 11:15:02.893823,1,192.168.1.170,CARDINAL
user_6,2026-07-30 11:24:02.893823,1,8080,CARDINAL
user_2,2026-07-30 12:16:02.893825,1,Email,PERSON
user_2,2026-07-30 12:16:02.893825,1,Jane Doe,PERSON
user_2,2026-07-30 12:16:02.893825,1,John Doe,PERSON
user_2,2026-07-30 12:16:02.893825,1,Project X,ORG
user_2,2026-07-30 12:16:02.893825,1,London,GPE
user_1,2026-07-30 12:11:02.893827,1,8080,CARDINAL
user_3,2026-07-30 12:20:02.893828,1,IP 192.168.1.73,ORG
user_4,2026-07-30 11:34:02.893829,1,IP,ORG
user_4,2026-07-30 11:34:02.893829,1,192.168.1.216,CARDINAL
user_2,2026-07-30 11:55:02.893831,1,IP,ORG
user_2,2026-07-30 11:55:02.893831,1,192.168.1.49,CARDINAL
user_6,2026-07-30 12:19:02.893832,1,Email,PERSON
user_6,2026-07-30 12:19:02.893832,1,Jane Doe,PERSON
user_6,2026-07-30 12:19:02.893832,1,John Doe,PERSON
user_6,2026-07-30 12:19:02.893832,1,Project X,ORG
